id,1m2f,age,flanders,WJ_LW_ID,WJ_RF_Cor,WJ_RF_Inc,WJ_RF_Tot,WJ_PC,WJ_WA,WJ_RV_Syn,WJ_RV_Ant,WJ_RV_Ana,WJ_RV_Tot,WJ_Tot,CC_Reg,CC_Irr,CC_Non,CC_Tot,MR_Raw,MR_Scaled,SS_Raw,SS_Scaled,SS_Time_Taken (Secs),PAL_PatternsReached,PAL_PatternsSucceededOn,PAL_MeanErrorsSuccess_Raw,PAL_MeanErrorsSuccess_Standard,PAL_MeanTrialsSuccess_Raw,PAL_MeanTrialsSuccess_Standard,PAL_StagesCompleted_Raw,PAL_StagesCompleted_Standard,PAL_TotalErrors_Raw,PAL_TotalErrors_Standard,PAL_TotalTrials_Raw,PAL_TotalTrials_Standard,SSP_SpanLength_Raw,SSP_SpanLength_Standard,w_p1a_f_l,w_p1a_f_r,w_p1a_d_l,w_p1a_d_r,w_p1l_f_l,w_p1l_f_r,w_p1l_d_l,w_p1l_d_r,w_n1a_f_l,w_n1a_f_r,w_n1a_d_l,w_n1a_d_r,w_n1l_f_l,w_n1l_f_r,w_n1l_d_l,w_n1l_d_r,w_p3a_f_l,w_p3a_f_r,w_p3a_d_l,w_p3a_d_r,w_p3l_f_l,w_p3l_f_r,w_p3l_d_l,w_p3l_d_r,w_sla_f_l,w_sla_f_r,w_sla_d_l,w_sla_d_r,l_p1a_f_l,l_p1a_f_r,l_p1a_d_l,l_p1a_d_r,l_p1l_f_l,l_p1l_f_r,l_p1l_d_l,l_p1l_d_r,l_n1a_f_l,l_n1a_f_r,l_n1a_d_l,l_n1a_d_r,l_n1l_f_l,l_n1l_f_r,l_n1l_d_l,l_n1l_d_r,l_p3a_f_l,l_p3a_f_r,l_p3a_d_l,l_p3a_d_r,l_p3l_f_l,l_p3l_f_r,l_p3l_d_l,l_p3l_d_r,l_sla_f_l,l_sla_f_r,l_sla_d_l,l_sla_d_r
23,2,11.83,10,61,85,0,85,34,26,17,14,11,42,248,38,32,35,105,22,10,34,14,120,8,8,0.5,0.5,1.38,0.24,8,999,4,0.5,11,0.25,5,-0.33,8.906354453,6.576054257,11.29904455,8.336762165,114,109,88,84.5,-3.106544893,-5.623048246,1.495007868,-3.335976662,201,202,176,205.5,20.17871153,18.98030372,36.53853591,34.61864496,450,450,330,330,27.34130765,28.87368315,28.74611975,27.92827064,10.31535442,7.651623724,13.15135007,10.10620714,100.5,120,104,110,-6.056660754,-1.105102001,3.10517252,6.124425118,176.5,177,168.5,168,21.85004671,27.35509271,22.40463313,27.73433603,316,334.5,310.5,307.5,-19.60244668,3.506742926,-27.20820987,-7.862480081
24,2,11.33,4,56,60,1,59,29,29,7,14,13,34,207,35,24,33,92,24,11,20,7,120,8,8,1,0.27,1.38,0.31,8,0.19,8,0.26,11,0.31,5,-0.34,4.904216713,11.11679354,-2.321146372,-0.905370275,88.5,98,105,105,8.404258883,6.01489421,-0.056774668,-7.975794775,151.5,157,155.5,159,14.99930057,18.42495297,8.584840056,7.064690368,375,375.5,349,347.5,15.3722058,16.40953463,-6.840596749,-5.728635443,13.09268652,11.50665294,6.950828774,16.09377382,98.5,110.5,103.5,104.5,13.30264016,2.785640402,5.507833904,4.446757106,154,155,154,154.5,31.00796404,35.06082418,43.88487115,48.72252271,421,394.5,431,432.5,27.65687283,31.98338322,25.81083868,27.67058716
25,2,8.53,10,44,28,1,27,21,12,7,9,9,25,129,31,18,18,67,20,11,23,12,120,8,8,0.75,0.46,1.25,0.62,8,0.19,6,0.47,10,0.66,5,-0.34,21.09282036,13.70772066,31.1497069,22.02598821,117,120,115,116,1.223820426,-7.059698092,6.328820148,-6.237435378,166.5,203.5,190,204,15.88804476,10.92807838,10.14403145,9.368324881,447,441.5,439,444.5,25.7335112,20.89112752,4.605614021,11.12846606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,12.55,10,70,70,0,70,36,29,19,14,12,45,250,38,37,36,111,28,13,31,11,120,8,8,0.12,1.01,1.12,0.93,8,999,1,1.01,9,0.92,9,2.09,25.40952172,24.0146923,18.06602392,20.35562788,128.5,121.5,124.5,120,15.41472167,4.592298751,6.699979542,-0.081212313,194,193,188,184.5,26.3992355,23.28461901,13.37087093,12.42161398,437.5,433.5,338.5,341.5,30.75498405,27.40492516,11.08085616,8.52280653,14.81997269,17.69595326,13.79741886,16.68383725,121,117.5,122.5,121,1.699700389,-2.203864317,-1.155898784,-8.813715472,180.5,174.5,168,169,23.99559127,23.67177492,15.03007154,12.93307508,337,320.5,300,357,19.10341596,17.97152011,5.519549982,2.349111541
27,2,10.37,8,70,65,0,65,31,30,17,15,12,44,240,9,9,9,27,21,10,29,13,120,8,8,0.38,0.59,1.12,0.83,8,999,3,0.59,9,0.83,7,1.07,25.29380643,26.78573429,22.06163095,23.96643327,103.5,108,106.5,112,0.55060241,-7.875728132,3.598665673,-6.985095341,192.5,183.5,193,185,19.85327627,21.25655849,16.11332906,16.07600146,406.5,404,450,450,22.30196046,19.96266487,24.18694117,18.68579946,10.58333003,8.754078555,14.97435061,16.17504972,127.5,109.5,115.5,116,-4.551913848,-10.21636752,-1.163411093,-8.179257632,204.5,198.5,190.5,183.5,8.431608422,4.54138206,15.79034877,12.18856838,436,439,403,418.5,0.998097096,5.640335709,15.04907889,13.960063
28,1,8.38,10,48,27,2,25,25,15,2,7,99,999,999,34,20,34,88,6,3,13,7,120,8,8,4.12,-2.12,2.62,-2.81,8,0.19,33,-2.31,21,-3.15,4,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,9.8,10,57,46,0,46,30,29,15,8,999,999,999,39,23,39,101,16,7,21,9,120,8,8,0.88,0.36,1.38,0.31,8,0.19,7,0.37,11,0.31,5,-0.2,18.85129971,16.99537556,21.77065111,20.68202717,123.5,111.5,117.5,112,14.24588034,7.749633755,11.95609985,10.25903621,205.5,185.5,224,168.5,18.30336472,9.344967726,19.10810385,10.45067697,310.5,302,450,447.5,20.00795521,18.88042737,15.55181884,13.93865683,19.8119142,20.47952729,19.41363125,20.8221961,131,127.5,130.5,129,13.24715212,8.265599485,26.7694057,22.11761334,171.5,175.5,163.5,162.5,9.136397051,0.216986162,28.50075291,17.49036284,370,439,396.5,447,16.23017021,11.5577858,4.708525387,1.184839482
30,1,12.65,10,62,39,0,39,36,27,11,10,9,30,194,37,26,37,100,30,14,26,9,120,8,8,0,1.19,1,1.48,8,999,0,1.19,8,1.45,7,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,10.33,10,46,37,1,36,28,19,10,8,6,24,153,34,16,16,66,16,7,19,8,120,8,8,1.12,0.04,1.38,0.24,8,999,9,0.04,11,0.25,6,0.37,19.56574094,11.7089504,31.24208369,31.21781302,98.5,97,85.5,93.5,-28.77206545,-40.18129257,2.64431741,-0.284983511,212.5,213,193.5,193.5,-6.656779251,-9.876500959,8.24602919,7.791699657,354.5,386.5,360,362.5,-30.68040202,-23.19412149,-26.99136477,-17.36114972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,11.78,4,64,87,0,87,36,31,17,13,10,40,258,40,32,38,110,21,9,34,14,120,8,8,0.38,0.59,1.25,0.53,8,999,3,0.59,10,0.54,9,2.47,11.07712873,12.48717712,6.488521337,10.16647571,118.5,116,114.5,113,-9.530702152,-13.19105769,-10.8665296,-13.93664722,189,187.5,194.5,185.5,17.3680061,13.20192056,19.03688875,16.8520624,420,399,408,407,15.29844083,17.40576695,16.7555568,19.59083915,6.977888988,7.887698458,7.367396702,7.839295941,86.5,112.5,115.5,104.5,-4.990680568,-12.24466754,2.711313594,-1.89020064,210,199.5,190.5,173,13.5579198,8.644471078,22.17727623,16.04972836,426,356.5,392,393,9.031781226,5.750777692,21.82806763,18.4977456
33,1,10.57,10,71,50,2,48,33,31,13,15,7,35,218,39,31,36,106,21,10,17,7,120,8,8,0.62,0.41,1.38,0.24,8,999,5,0.41,11,0.25,7,1.07,12.03331344,1.887404591,9.189776029,3.256055515,123,142.5,131.5,124,19.94387488,-3.649898436,2.298743629,-9.775782654,180.5,185,187,189,15.22898357,12.10505641,-5.350137004,-14.29760292,392.5,393.5,316,337.5,2.059853358,-0.859503666,-19.11844373,-31.71114489,20.89635775,7.81971966,22.61125784,29.68148352,85.5,112,129.5,122,21.8034997,-4.139589841,26.74764063,7.87516123,197,190.5,178.5,182,25.1604673,16.97377731,19.91367996,18.65146208,386,323.5,344.5,339.5,13.95716347,5.946011329,3.903022809,-2.333853138
